Rank,Name,City,State,Employees,Growth (%),Accelerator/Investor,Website,LinkedIn
1,CultureIQ,New York,NY,85,165.63,,cultureiq.com,http://www.linkedin.com/company/cultureiq
2,AppZen,Santa Clara,CA,65,150.00,Redpoint,appzen.com,https://www.linkedin.com/company/appzen/
3,Guild Education,Denver,CO,145,76.83,Bessemer,guildeducation.com,https://www.linkedin.com/company/guild-education/
4,Pipefy,San Francisco,CA,135,73.08,,Pipefy.com,https://www.linkedin.com/company/pipefy/
5,TravelPerk,Barcelona,SPA,104,55.22,Spark/LocalGlobe,travelperk.com,https://www.linkedin.com/company/travelperk/
6,Projector PSA,Boston,MA,43,53.57,,projectorpsa.com,http://www.linkedin.com/company/projector-psa
7,Total Expert,Minneapolis,MN,144,50.00,Rally/Arthur,totalexpert.com,https://www.linkedin.com/company/total-expert/
8,WorkJam,Montreal,QC,95,46.15,,workjam.com,https://www.linkedin.com/company/workjam
9,Aircall,Paris,FRA,137,45.74,Balderton Capital,aircall.io,https://www.linkedin.com/company/aircall
10,ChatMeter,San Diego,CA,74,45.10,,chatmeter.com,http://www.linkedin.com/company/chatmeter
11,AppCues,Boston,MA,45,45.16,,appcues.com,http://www.linkedin.com/company/appcues
12,Pax8,Denver,CO,196,43.07,PV,pax8.com,https://www.linkedin.com/company/pax8/
13,StackAdapt,Toronto,ON,94,42.42,Plaza Ventures,stackadapt.com,http://www.linkedin.com/company/stackadapt
14,Logikcull,San Francisco,CA,102,41.67,,logikcull.com,http://www.linkedin.com/company/logik
15,Framer Studio,Amsterdam,NET,44,41.94,,framer.com,https://www.linkedin.com/company/framer
16,FullStory,Atlanta,GA,96,41.18,Google,fullstory.com,http://www.linkedin.com/company/fullstory
17,Officevibe,Montreal,QC,45,40.63,,officevibe.com,http://www.linkedin.com/company/officevibe
18,Winmo,Atlanta,GA,45,40.63,,winmo.com,https://www.linkedin.com/company/winmo-sales-intelligence
19,Hubdoc,Toronot,ON,87,40.32,BDC,hubdoc.com,https://www.linkedin.com/company/hubdoc/
20,Postman,San Francisco,CA,70,40.00,,getpostman.com,https://www.linkedin.com/company/postman-api-tools-
21,UpCity,Chicago,IL,42,40.00,,upcity.com,http://www.linkedin.com/company/upcity
22,GitLab,San Francisco,CA,307,37.67,,gitlab.com,http://www.linkedin.com/company/gitlab-com
23,Accelo,San Francisco,CA,86,38.71,Blackbird/Rothenberg,accelo.com,https://www.linkedin.com/company/accelo
24,PageFreezer,Vancouver,BC,43,38.71,,pagefreezer.com,http://www.linkedin.com/company/pagefreezer-software-inc-
25,Ceros,New York,NY,164,37.82,Grotech,ceros.com,http://www.linkedin.com/company/ceros.com
26,Loopio,Toronto,ON,72,38.46,,loopio.com,https://www.linkedin.com/company/loopio
27,Xpenditure,Mechelen,,131,37.89,,xpenditure.com,https://www.linkedin.com/company/xpenditure
28,Segment,San Francisco,CA,302,36.04,Y Combinator/Accel,segment.com,http://www.linkedin.com/company/segment-io
29,iterable,San Francisco,CA,135,36.36,500 Startups/Index,iterable.com,http://www.linkedin.com/company/iterable
30,Right On Interactive,INdianapolis,IN,135,36.36,,rightoninteractive.com,http://www.linkedin.com/company/right-on-interactive/employee-insights
31,ServiceTitan,Glendale,CA,420,33.76,ICONIQ/Bessemer,ServiceTitan.com,http://www.linkedin.com/company/servicetitan
32,UJET,San Francisco,CA,77,35.09,,ujet.co,https://www.linkedin.com/company/ujetco
33,Zoom,San Jose,CA,877,29.93,Sequoia/Emergence,zoom.us,http://www.linkedin.com/company/zoom-video-communications-inc-
34,Amplitude Analytics,San Francisco,CA,174,33.85,Benchmark,amplitude.com,https://www.linkedin.com/company/amplitude-analytics/
35,SaltStack,Lehi,UT,82,34.43,,saltstack.com,http://www.linkedin.com/company/salt-stack-inc
36,Databricks,San Francisco,CA,421,31.97,NEA/Andressen,databricks.com,http://www.linkedin.com/company/databricks
37,Algolia,San Francisco,CA,250,32.98,Y Combinator/Accel,algolia.com,https://www.linkedin.com/company/algolia
38,Plivo,San Francisco,CA,157,33.05,Y Combinator/Andressen,plivo.com,http://www.linkedin.com/company/plivo-inc
39,Conga,Broomfield,CO,453,30.92,Salesforce,getconga.com,http://www.linkedin.com/company/conga
40,Proposify,Nova Scotia,CA,40,33.33,,proposify.biz,https://www.linkedin.com/company/proposify
41,Gather,Atlanta,CA,89,32.84,,gatherhere.com,http://www.linkedin.com/company/gather-technologies
42,Front,San Francisco,CA,147,32.43,Y Combinator/Social,frontapp.com,http://www.linkedin.com/company/front-app
43,SalesLoft,Atlanta,GA,302,30.74,Techstars/Storm/Emergence,salesloft.com,http://www.linkedin.com/company/salesloft
44,LumApps,Lyon,FR,116,31.82,Idinvest,lumapps.com,https://www.linkedin.com/company/lumapps/
45,Customer.io,Portland,OR,41,32.26,,customer.io,http://www.linkedin.com/company/customer-io
46,JumpCloud,Boulder,CO,79,31.67,Foundry,jumpcloud.com,https://www.linkedin.com/company/jumpcloud
47,VenturePact,New York,NY,71,31.48,,VenturePact.com,https://www.linkedin.com/company/venturepact/
48,DroneDeploy,San Francisco,CA,104,30.00,,DroneDeploy.com,https://www.linkedin.com/company/dronedeploy/
49,Datadog,New York,NY,688,26.70,ICONIQ/OpenView,datadoghq.com,http://www.linkedin.com/company/datadog
50,Mailgun,San Francisco,CA,65,30.00,,mailgun.com,https://www.linkedin.com/company/mailgun-inc
51,Dataiku,Paris,FRA,158,28.46,FirstMark/Alven,dataiku.com,https://www.linkedin.com/company/dataiku
52,exponea,London,UK,178,28.06,LRJ Capital,exponea.com,https://www.linkedin.com/company/exponea
53,ChargeBee,,,160,28.00,,Chargebee.com,http://www.linkedin.com/company/chargebee
54,AppBuddy,Millbrae,CA,45,28.57,,appbuddy.com,http://www.linkedin.com/company/appbuddy
55,Applitools,San Mateo,CA,68,28.30,Sierra,Applitools.com,https://www.linkedin.com/company/applitools/
56,leanplum,San Francisco,CA,238,27.27,Canaan/Kleiner,leanplum.me,https://www.linkedin.com/company/leanplum
57,TurnTo,New York,NY,50,28.21,,turntonetworks.com,http://www.linkedin.com/company/turnto-networks
58,Allego,Needham,MA,74,27.59,,allego.com,http://www.linkedin.com/company/allego-inc-
59,Teamwork.com,Cork,IRE,179,26.95,,teamwork.com,https://www.linkedin.com/company/teamwork-com
60,CloudFlare,San Francisco,CA,689,24.37,NEA/Venrock,cloudflare.com,http://www.linkedin.com/company/cloudflare-inc.
61,BirdEye,Sunnyvale,CA,299,26.16,WiL,birdeye.com,https://www.linkedin.com/company/birdeye
62,Kimble PSA,London,UK,89,27.14,Sussex Place,kimbleapps.com,https://www.linkedin.com/company/kimble-applications/
63,Leadfeeder,Helsinki,,42,27.27,,leadfeeder.com,https://www.linkedin.com/company/leadfeeder
64,Zudy,Miami Beach,FL,80,26.98,,zudy.com,http://www.linkedin.com/company/zudy
65,Elastic,Mountain View,CA,880,22.91,Benchmark/Index/NEA,elastic.co,https://www.linkedin.com/company/elastic-co
66,Deputy,Surry Hills,NSW,198,26.11,OpenView,deputy.com,https://www.linkedin.com/company/deputyapp/
67,6sense,San Francisco,CA,76,26.67,,6sense.com,http://www.linkedin.com/company/6sense
68,LearnCore,Chicago,IL,43,26.47,,learncore.com,https://www.linkedin.com/company/learncore
69,beekeeper,Zurich,SWI,141,25.89,,beekeeper.io,https://www.linkedin.com/company/beekeeper
70,JotForm,San Francisco,CA,87,26.09,,jotform.com,http://www.linkedin.com/company/jotform
71,MindTickle,San Francisco,CA,197,25.48,,mindtickle.com,http://www.linkedin.com/company/mindtickle
72,Chorus.ai,San Francisco,CA,58,26.09,RedPoint/Emergence,chorus.ai,https://www.linkedin.com/company/chorus.ai
73,Infoscout,San Francisco,CA,188,25.33,,Infoscout.com,https://www.linkedin.com/company/infoscout/
74,skilljar,Seattle,WA,49,25.64,,skilljar.com,http://www.linkedin.com/company/skilljar
